image_id,mine_row,comparison_row,iou,mine_class,comparison_class,class_agree
drive_022,1,1,0.760219,Car,car,True
drive_022,2,2,0.862355,Bus,van,False
drive_022,3,4,0.613879,Car,car,True
drive_022,4,5,0.727022,Truck,bus,False
drive_022,5,3,0.670451,Car,car,True
drive_033,1,12,0.813644,Bus,van,False
drive_033,2,1,0.859643,Bus,van,False
drive_033,3,2,0.606298,Truck,bus,False
drive_033,4,11,0.816537,Car,car,True
drive_033,5,7,0.643256,Car,car,True
drive_033,6,5,0.55016,Car,car,True
drive_033,7,3,0.696805,Car,car,True
drive_033,8,4,0.556159,Car,car,True
drive_033,9,6,0.496997,Car,car,True
drive_033,10,10,0.792243,Car,car,True
drive_033,11,9,0.742706,Car,car,True
drive_033,18,8,0.713423,Car,car,True
drive_038,1,6,0.805184,Car,car,True
drive_038,2,9,0.796552,Truck,bus,False
drive_038,3,15,0.8324,Van,truck,False
drive_038,4,14,0.770422,Car,car,True
drive_038,5,13,0.708335,Car,car,True
drive_038,6,17,0.672387,Car,car,True
drive_038,9,11,0.757583,Car,car,True
drive_038,10,3,0.827056,Car,car,True
drive_038,11,2,0.899719,Car,car,True
drive_038,12,5,0.905582,Truck,bus,False
drive_038,13,8,0.836671,Car,car,True
drive_038,14,7,0.693692,Car,car,True
drive_008,1,12,0.854859,Car,truck,False
drive_008,3,4,0.850565,Car,car,True
drive_008,4,3,0.839247,Van,truck,False
drive_008,5,2,0.847217,Car,car,True
drive_008,6,5,0.776573,Van,truck,False
drive_008,7,1,0.779353,Truck,bus,False
drive_008,9,9,0.91354,Bus,van,False
drive_008,12,16,0.813093,Car,car,True
drive_008,16,11,0.805915,Car,car,True
drive_008,17,6,0.855431,Car,car,True
